comp_disp_inspection_by,comp_disp_date,nyc_BIN,location
2713,2016-10-12,2057548,"0.0000000,0.0000000"
2412,2016-10-12,2050818,"40.8605120,-73.8436360"
2412,2016-10-12,2103850,"40.8693300,-73.8263908"
2412,2016-10-12,2103850,"40.8692420,-73.8248586"
2713,2016-10-12,2057043,"40.8743231,-73.8616148"
2556,2016-10-12,2057043,"40.8743231,-73.8616148"
2556,2016-10-12,2057043,"40.8743231,-73.8616148"
2252,2016-10-12,2002457,"40.8254821,-73.9189897"
2252,2016-10-12,2002457,"40.8254821,-73.9189897"
2713,2016-10-12,2071921,"40.9057290,-73.8476130"
2667,2016-10-12,2003900,"40.8112480,-73.9085100"
2713,2016-10-12,2054778,"40.8701595,-73.8675684"
2556,2016-10-12,2054778,"40.8701595,-73.8675684"
2556,2016-10-12,2054778,"40.8701595,-73.8675684"
2556,2016-10-12,2003900,"40.8112480,-73.9085100"
860,2016-10-12,2007612,"40.8484920,-73.9052400"
2556,2016-10-12,2009103,"40.8531229,-73.9177110"
2556,2016-10-12,2009103,"40.8531229,-73.9177110"
2667,2016-10-12,2003820,"40.8065360,-73.9122050"
2667,2016-10-12,2003635,"40.8065080,-73.9163466"
860,2016-10-12,2007890,"40.8467210,-73.9094845"
860,2016-10-12,2085024,"0.0000000,0.0000000"
860,2016-10-12,2016156,
2551,2016-10-12,2071921,"40.9057290,-73.8476130"
860,2016-10-12,2007612,"40.8484920,-73.9052400"
2374,2016-10-12,1054680,"40.8033556,-73.9358587"
2633,2016-10-12,1023736,"40.7656807,-73.9783347"
2600,2016-10-12,1023736,"40.7656807,-73.9783347"
2282,2016-10-12,1061933,"40.8257819,-73.9488319"
2342,2016-10-12,1089424,"40.7502185,-74.0046604"
2565,2016-10-12,1087465,"40.8299710,-73.9494480"
2765,2016-10-12,1083931,"40.7865967,-73.9422533"
2565,2016-10-12,1051379,"40.7717340,-73.9465759"
2777,2016-10-12,1088110,"40.7620782,-73.9929344"
2777,2016-10-12,1079744,"40.8202828,-73.9557400"
2556,2016-10-12,1079744,"40.8202828,-73.9557400"
2600,2016-10-12,1040011,"40.7592510,-73.9636809"
