building,counts
475 GRAND CONCOURSE,3
3518 BAINBRIDGE AV,3
2391 WEBB AV,3
2545 GRAND CONCOURSE,3
940 TIFFANY ST,3
930 OGDEN AV,3
870 SOUTHERN BLVD,3
2016 DAVIDSON AV,3
637 E 183 ST,3
2720 GRAND CONCOURSE,3
329 ADMIRAL LANE,3
3340 PARK AV,3
2383 BATHGATE AV,3
3405 RESERVOIR OVAL W,3
1991 NEEDHAM AV,3
2159 GLEBE AV,3
1041 EVERGREEN AV,3
4240 BOSTON RD,3
1314 SENECA AV,3
1050 PELHAM PARKWAY SOUTH,3
450 AUSTIN PL,3
513 VAN NEST AV,3
3215 OLINVILLE AV,3
1350 MANOR AV,3
1385 FULTON AV,3
250 BEDFORD PARK BLVD W,3
1610 SEDGWICK AV,3
1995 DAVIDSON AV,3
3240 RIVERDALE AV,3
304 W 234 ST,3
1730 MONTGOMERY AV,3
775 MORRIS AV,3
199 W KINGSBRIDGE RD,3
1915 MORRIS AV,3
2675 CRESTON AV,3
480 WASHINGTON AV,3
938 VYSE AV,3
592 E 141 ST,3
2601 HALPERIN AV,3
2600 LAFAYETTE AV,3
3227 SEYMOUR AV,3
610 WARING AV,3
2175 LACOMBE AV,3
2130 CROTONA AV,3
790 SHERIDAN AV,3
391 E 149 ST,3
801 WCHESTER AV,3
235 MT HOPE PL,3
2075 CLINTON AV,3
2156 CRUGER AV,3
4401 TIBBETT AV,3
121 E MOSHOLU PARKWAY NORT,3
5661 RIVERDALE AV,3
3276 WCHESTER AV,3
3419 IRWIN AV,3
2230 GR CONCOURSE,3
1285 FULTON AV,3
253 E 206 ST,3
888 GR CONCOURSE,3
3017 CRUGER AV,3
2409 GRAND AV,3
3875 WALDO AV,3
1733 JEROME AV,3
5731 BRDWAY,3
2388 CRESTON AV,3
2985 BOTANICAL SQUARE,3
1058 WHITE PLAINS RD,3
231 W 252 ST,3
1791 WALTON AV,3
1674 MACOMBS RD,3
301 WALTON AV,3
1405 PLAZA DRIVE,3
549 LONGFELLOW AV,3
3024 KINGSBRIDGE AV,3
1 WINDWARD LANE,3
701 E 219 ST,3
747 E 168 ST,3
2750 LAFAYETTE AV,3
2675 HEATH AV,3
922 BRONX PARK SOUTH,3
2435 CRESTON AV,3
2405 MARION AV,3
661 CAULDWELL AV,3
2710 MORRIS AV,3
3751 RIVERDALE AV,3
4199 WEBSTER AV,3
1517 BLONDELL AV,3
620 E 178 ST,3
800 BAYCHESTER,3
1946 WEBSTER AV,3
284 MORRIS AV,3
11 W 172 ST,3
3591 BAINBRIDGE AV,3
365 E 151 ST,3
4132 PARK AV,3
1930 ANTHONY AV,3
3125 TIBBETT AV,3
666 E 141 ST,3
815 E 135 ST,3
780 SHERIDAN AV,3
440 E FORDHAM RD,3
2842 GRAND CONCOURSE,3
2155 PAULDING AV,3
2000 DAVIDSON AV,3
4385 VIREO AV,3
3440 GATES PL,3
3191 ROCHAMBEAU AV,3
3801 HUDSON MANOR TERRACE,3
813 CHESTNUT ST,3
464 E TREMONT AV,3
894 ROGERS PL,3
100 COOP CITY BLVD,3
1471 BOONE AV,3
2323 ECHESTER RD,3
3900 WALDO AV,3
100 NEPTUNE LANE,3
639 E 183 ST,3
641 E 183 ST,3
2883 3 AV,3
2001 MONTEREY AV,3
1520 SEDGWICK AV,3
412 E 147 ST,3
109 W TREMONT AV,3
985 SIMPSON ST,3
1835 MULINER AV,3
1545 INWOOD AV,3
3050 DECATUR AV,3
2551 HERING AV,3
1758 WEEKS AV,3
2410 WEBB AV,3
1182 WASHINGTON AV,3
1314 BALCOM AV,3
2103 E 180 ST,3
50 E 191 ST,3
400 E 176 ST,3
350 E 207 ST,3
1195 ANDERSON AV,3
2641 GRAND CONCOURSE,3
1985 DAVIDSON AV,3
840 E 13 AV ST,3
626 E 141 ST,3
1060 REV JAMES POLITE AV,3
2530 HOLLAND AV,3
349 E 149 ST,3
4400 3 AV,3
666 KAPPOCK ST,3
2055 GRAND CONCOURSE,3
3598 JEROME AV,3
961 E 174 ST,3
544 E 171 ST,3
306 E 175 ST,3
3077 CROSS BRONX EXP,3
875 BOYNTON AV,3
408 E 142 ST,3
2763 MORRIS AV,3
306 MOSHOLU PARKWAY,3
44 METROPOLITAN OVAL,3
1065 JEROME AV,3
85 MC CLELLAN ST,3
737 THROGS NECK EXPRESSWAY,3
2925 GREENE PL,3
123 W 183 ST,3
3511 PUTNAM PL,3
707 THROGS NECK EXPRESSWAY,3
424 E 238 ST,3
851 GRAND CONCOURSE,3
1072 HAVEMEYER AV,3
1055 GRAND CONCOURSE,3
970 PROSPECT AV,3
3538 WEBSTER AV,3
585 FRANKLIN AV,3
2974 VALENTINE AV,3
3850 SEDGWICK AV,3
140 ELGAR PL,3
590 E 166 ST,3
561 BARRY ST,3
738 HOLLAND AV,3
3083 HULL AV,3
354 CYPRESS AV,3
4455 MANHATTAN COLLEGE PARKWAY,3
170 W KINGSBRIDGE RD,3
700 EXTERIOR ST,3
423 WALES AV,3
2431 WEBB AV,3
2832 DUDLEY AV,3
3531 BRONXWOOD AV,3
853 ELSMERE PL,3
3273 PARKSIDE PL,3
974 PROSPECT AV,3
4411 TIBBETT AV,3
808 ADEE AV,3
445 E 171 ST,3
4525 HENRY HUDSON PKWY,3
6555 BRDWAY,3
105 CLARKE PL,3
4353 BRONX BLVD,3
1475 THIERIOT AV,3
165 E 136 ST,3
1805 CARTER AV,3
428 E 137 ST,3
1050 BX AND PELHAM PKWY,3
830 SOUTHERN BLVD,3
188 W 230 ST,3
75 W 205 ST,3
2344 CROTONA AV,3
560 GRAND CONCOURSE,3
1129 MORRIS PARK AV,3
155 E MOSHOLU PARKWAY NORT,3
1969 WASHINGTON AV,3
1668 WEBSTER AV,3
495 E 188 ST,3
1061 BLACKROCK AV,3
2230 GRAND CONCOURSE,3
2914 THIRD AV,3
3410 DE REIMER AV,3
377 E 145 ST,3
1120 LELAND AV,3
1453 BRYANT AV,3
1166 GERARD AV,3
3534 WAYNE AV,3
1064 CARROLL PL,3
1119 BRYANT AV,3
2921 BRIGGS AV,3
825 BOYNTON AV,3
1129 FOREST AV,3
2543 WEBSTER AV,3
4140 HUTCHINSON RIVER PKWAY,3
650 E 153 ST,3
53 SURF DRIVE,3
1115 INTERVALE AV,3
925 ASTOR AV,3
2075 WALLACE AV,3
1601 SEDDON ST,3
760 GR CONCOURSE,3
875 MORRISON AV,3
3816 WALDO AV,3
890 PROSPECT AV,3
40 W TREMONT AV,3
2960 GRAND CONCOURSE,3
551 WALES AV,3
902 HUNTS POINT AV,3
3594 E TREMONT AV,3
2440 OLINVILLE AV,3
805 WILCOX AV,3
955 UNDERHILL AV,3
1500 NOBLE AV,3
1007 EVERGREEN AV,3
735 PELHAM PARKWAY NORTH,3
524 VAN NEST AV,3
4160 HUTCH RIVER PARKWAY,3
1910 SEMINOLE AV,3
2413 BUCK ST,3
1841 UNIVERSITY AV,3
367 E 149 ST,3
825 MORRISON AV,3
1717 FULTON AV,3
800 SHERIDAN AV,3
153 E 184 ST,3
3950 BLACKSTONE AV,3
909 KELLY ST,3
40 W MOSHOLU PARKWAY SOUT,3
3960 HILLMAN AV,3
3288 RESERVOIR OVAL,3
2570 BRIGGS AV,3
3555 BRUCKNER BLVD,3
17 W 182 ST,3
777 CO-OP CITY BLVD,3
3341 RESERVOIR OVAL,3
278 BEDFORD PARK BLVD,3
1865 ECHESTER RD,3
1200 WOODYCREST AV,3
2270 WALTON AV,3
2971 MARION AV,3
2705 BAINBRIDGE AV,3
2715 WEBSTER AV,3
549 E 234 ST,3
208 RIDER AV,3
995 ALDUS ST,3
1015 BOYNTON AV,3
3019 TIBBETT AV,3
296 BROOK AV,3
2118 CHATTERTON AV,3
324 E FORDHAM RD,3
2475 SOUTHERN BLVD,3
1664 MACOMBS RD,3
825 GERARD AV,3
2130 BARTOW AV,3
2332 TIEBOUT AV,3
